subject|content_html|ip_address|created_date|user|item
|既晴兄你好，居然能看到作者本人出现真是让我受宠若惊，还请原谅我不成熟的想法。《魔法妄想》我也听闻很久了，好希望能早日看到 :)|66.119.34.39|2004-01-29 15:59:00.000|乐阳|242
|&quot;重要的是，我们得去寻找好看的小说，无论它藏匿在何方，也无论是过去还是现在。&quot;这句话太妙了!!!<br><br>推理小说<br>在西方<br>已濒临死亡<br>而在东方<br>才刚刚开始...<br><br><br>|202.109.102.66|2004-02-16 03:25:00.000|罗塞帝|251
|造谣~~~~~~~最新的<<达芬奇密码>不就是本好推理小说吗~|61.173.249.222|2004-03-07 11:32:00.000|风尘|251
|<table id="HB_Mail_Container" height="100%" cellspacing="0" cellpadding="0" width="100%" border="0" unselectable="on"> <tbody> <tr height="100%" unselectable="on" width="100%"> <td id="HB_Focus_Element" valign="top" width="100%" background="" height="250" unselectable="off"> <p>推理小说已死这样的说法的确耸人听闻，但作为一个福迷，我却不得不赞成文章里的大部分观点。</p> <p>然而，我却认为真正让一部推理小说不朽的，除了巧妙的诡计之外，主要人物的塑造也是必不可少。试问，现在研究福尔摩斯是因为里面的诡计，还是因为福尔摩斯的人格魅力？论诡计的精巧，福尔摩斯远不如后来的作家，如阿加沙克里斯蒂等等，但是福尔摩斯却不断吸引一代又一代的读者。</p> <p>作者谈到推理小说中滥用心理分析，我倒觉得这是推理小说的进步。说到底，一个心理医生不就是根据病人的叙述依据逻辑推断出病情吗？这和推理小说中的安乐椅破案似乎很有些相似之处。况且，真正无法破解的诡计恰恰是心理诡计。心理分析如果使用得当，会给推理小说增色不少，并不是毁掉推理小说的元凶啊。</p> <p>然而，作者的其他意见，却不幸言中。如果说推理小说被谋杀的话，凶手就是当今轻浮的读者。若不在长篇小说的头三页里看到3凶杀，四个床戏，10有9个都要觉得味同嚼蜡，弃书不看了。无论是爱伦坡还是科南道尔，若生在当今，两个人的书肯定都卖不出去。</p></td></tr> <tr unselectable="on" hb_tag="1"> <td style="FONT-SIZE: 1pt" height="1" unselectable="on"> <div id="hotbar_promo"></div></td></tr></tbody></table>|4.60.10.189|2004-07-21 14:22:02.567|Irregular|251
|东方的推理即将升起！|218.14.218.176|2004-08-14 07:42:57.040|没错|251
|刚看完玛丽·莱因哈特的《螺旋楼梯》，觉得形容这部小说最贴切的一句话就是“I don't tell you!”小说里好像除了叙述者和警察以外每个人都或多或少知道一些可以立刻置悬念于死地的真相，但任凭发病的发病、晕倒的晕倒、直搞到嗅盐满天飞，他们还是咬紧牙关一字不露，真是钢铁神经！|222.65.200.4|2004-10-15 04:50:45.623|陈周侯|264
|hoch的那两篇是短篇吧。|128.12.179.81|2005-04-20 04:28:09.347|Fang|265
|<P>如遇知己,我以为中国没有人知道nathan heller</P>|61.49.181.119|2005-08-13 05:44:34.330|T.S.Winters|265
|<p>拜读乐阳老师的文章，知道推理之门的工作人员的艰辛工作和努力，才使我们这些推友有了生活中的一份快乐，我们非常感谢。</p> <p>另《指纹》这本书虽然未读过，但早有耳闻。据文中表示书并不成熟，有很多稚嫩的文章，有些文章我也在推理之门中读过。我非常支持这些文章的出版，这不但是对工作人员的工作的肯定，也是对那些作者的褒奖。这些肯定的支持将会影响这些作者的一辈子，让他更有信心去从事推理的创作，这些作者可能将会有中国的科南．道尔，阿茄沙．克里斯蒂，将会影响中国的推理文学事业。</p> <p>我希望，我相信推理之门不久将来应成为中国的推理文学领军。</p> <p>更希望由推理之门成立中国的“爱伦破奖”“金匕首奖”这样更能推动中国的推理文学事业。</p>|210.21.56.82|2004-07-29 01:48:48.387|刀仔|289
|<p>老师可不敢当。国内的推理小说，断断续续我也阅读了不少，感觉还有很长很长的艰辛路要走，尤其在如今的境况下，更需要一部惊天动地的推理小说才能把它带动起来。</p> <p>我觉得，有志于成为推理作家的人，应该全面放弃短篇，而埋头苦功创作一部有现代特色的诡计至上的纯本格长篇，打破旧有的规律，来一番天翻地覆的革新。</p> <p>短篇只是成功者的甜点。</p> <p>的确，国内网络上充斥着短篇原创推理小说，但问题是95%以上的只不过是低下作品，出版了也只会带来负面影响，就算这不是作者们的错，短篇的天性也无可避免地限制了它成为一篇伟大的作品的可能性。</p> <p>短篇不可能挽救国内的推理小说困境！</p> <p>那么为何做没有意义的事情？就让那些所谓‘训练文笔’的人去做吧。</p> <p>如果你真的想成为推理作家，为何浪费时间写让人笑话的垃圾？</p> <p>为何不肯花点时间，做充分的资料搜集，主攻一部惊为天人的长篇？</p> <p>急进、懒惰是如今国内网络上推理小说发展最大的绊脚石。</p>|141.149.249.13|2004-08-01 14:17:47.577|乐阳|289
|<p>阳乐老师说得不错，现在急进和懒惰是国内网络上推理小说发展最大的绊脚石。</p> <p>就是因为懒惰，才不愿去收集资料，因为急进而让文章低下，所以就没法写出一部出色的作品。</p>|61.186.136.233|2004-11-19 01:26:14.167|想成为侦探的人|289
|<P>真的这么好看吗?</P><P>有机会一定要好好读一下.</P><P> </P><P>期待国内出版商出这个是不可能的</P><P>好好学习英语,看原版书.</P>|220.178.117.156|2004-05-13 08:45:00.000|drury|308
|我是本格迷，所以觉得地狱之缘起码是4.5颗星以上。如果你喜欢卡的三口棺材，那么强烈推荐找这部小说来看看。|70.16.34.93|2004-05-14 03:55:00.000|乐阳|308
|为什么这本有中文译？是您译的还是国内出过中译版？|219.136.103.187|2004-05-14 13:20:00.000|hjb|308
|我看的是原文，应该还没有中译版。连三口棺材都要等六七十年才被引进国内，天知道那些被埋藏的经典要等到何年何月了 ^_^|128.205.205.89|2004-05-14 14:17:00.000|乐阳|308
|这本书出让吗？我好想要啊。|218.20.60.110|2004-05-15 02:26:00.000|hjb|308
|我也只有一本，如果你真的想要看，首先到当地大学图书馆去找找看吧，找不到就到amzon.com或half.com买旧的吧，也不是很贵。|141.149.154.116|2004-05-15 03:30:00.000|乐阳|308
|但我没有信用卡啊，国内也能买到吗？|218.19.60.20|2004-05-16 13:39:00.000|hjb|308
|《弓》实在是没法找到，被密室讲义泄了底也只好认了……|220.202.68.70|2004-06-01 04:45:00.000|GFinger|315
|<P>《黄色房间的秘密》不一定要看译林版，根據<SPAN id=lblTitle>神秘书单，還可以看群众版。</SPAN><BR>［法］加斯东·勒鲁          《“黄屋”奇案》<BR>群众出版社，1999年</P>|140.112.5.250|2004-06-01 16:24:00.000|guest|315
|一个是日本版译的，一个是英文版译的。|218.20.63.4|2004-06-02 11:33:00.000|hjb|315
|群众和译林版都是法文本译出的全译本。|218.94.60.11|2004-06-03 05:45:00.000|ellry|315
|？？那怎么上次你说一个是日本译一个是英文译的？？|219.137.36.138|2004-06-03 12:02:00.000|hjb|315
|贵州版的《格林家命案》、《主教杀人事件》、《Y的悲剧》、《X的悲剧》、《杀意》是日文本译出。不是说《黄屋》。|202.102.111.2|2004-06-03 13:01:00.000|ellry|315
|<p>是法兰西.艾尔斯的《杀意》吗？</p>|222.134.96.251|2004-08-24 05:42:33.167|岛田军副将|315
|<p>是法兰西.艾尔斯的《杀意》。</p>|210.52.238.77|2004-08-26 00:09:04.247|ellry|315
|对了，人骨拼图是否拍过电影？好像是一个黑人扮演那位侦探的。。。<br />|218.19.75.43|2004-08-18 00:30:17.290|hjb|349
|<p>基本上，我覺得Jeffery Deaver的短篇很好看。</p> <p>(Twisted是他的短篇集，9月份的EQMM應該還會出現一篇)</p> <p>長篇的萊姆系列，JD可能會稍稍暫停。</p> <p>July 2004出版的是<font face="Verdana"><strong><em>Garden of Beasts</em></strong> (非萊姆系列)</font></p>|203.217.108.72|2004-08-18 08:40:52.060|Christine|349
|人骨拼图看过电影，小说国内没有出现，只有台湾译本。可惜我目前仍不富裕。|221.226.99.56|2004-08-18 09:08:53.257|马天|349
|9月份的eqmm刚收到不久，里面的确有他一篇，而且还是关于福尔摩斯的，相当精彩。 下一部长篇萊姆，根据其官方网站，会在2005年出版，名叫Gallows Heights，为了拯救一个小女孩，萊姆将面临一件140多年的悬案。 Garden of Beasts虽是非萊姆系列，但据说文中有一些关于萊姆的信息，还在琢磨是否要看...|128.205.205.89|2004-08-18 09:16:28.723|乐阳|349
|人骨拼图由Denzel Washington和Angelina Jolie主演，虽然JD并没有明文表明萊姆是白人，但由一位黑人演出萊姆却也出人意料之外，就好像以前由Whoopi Goldberg扮演劳伦斯的妙贼一样怪哉，但好莱坞办事就是如此，无办法可言。 我觉得电影版没有小说好看。|128.205.205.89|2004-08-18 09:27:10.370|乐阳|349
|<p>乐阳，一份eqmm要多少钱？</p>|218.19.62.200|2004-08-19 10:13:49.810|hjb|349
|如果寄往国内一年大概35美元左右吧。 电子版可能便宜点，可以参考：http://www.ylib.com/class/topic3/show1.asp?object=stage&no=54487|128.205.205.89|2004-08-19 12:17:03.587|乐阳|349
|是否有一些曾拍成电影？<br />|219.136.101.217|2004-10-02 05:23:34.410|hjb|361
|人骨拼图拍过电影，其他的不清楚|219.159.82.2|2004-10-02 21:04:34.430|dsky|361
|只有人骨拼图…电影不怎样出色，所以看样子短期内也不会有第二片的了…|129.44.253.164|2004-10-03 08:55:55.470|乐阳|361
|<p>国内（大陆）虽然未曾出版迪弗的林肯系列，但是却出了他的非系列作品《蓝色虚拟空间》（译林出版社，2004），描写黑客犯罪，很精彩（虽然翻译方面比较差劲）。</p>|202.102.92.137|2004-10-04 04:22:35.467|ellry|361
|《蓝色虚拟空间》(the blue nowhere)我认为也非常精彩，有JD一贯的明快手法和因素，结局出人意料之余倒也相当巧妙。 <p>非林肯系列的《A Maiden's Grave》和《The Devil's Teardrop》也值得一读，最新的Garden Of Beasts虽尚未读过不知道，但感觉也应该不差。 <p>他的前期作品The Lesson Of Her Death和Praying For Sleep则比较苦涩，没有后期的紧凑风格，读着很是吃力，不推荐 ^_^|128.205.205.89|2004-10-04 08:47:51.120|乐阳|361
|这些书也只有台湾版的。一直听乐阳提到这个系列，非常想看呀。|221.226.99.56|2004-10-04 19:01:26.280|马天|361
|<p>银两问题。。。贫苦啊。。。<br /></p>|219.137.110.186|2004-10-04 23:43:10.390|hjb|361
|<p>人骨拼图出版</p> <p>人骨拼图<br />杰弗瑞·迪弗 著<br />楚材 翻译<br />中国友谊出版公司<br />2004年9月<br />定价：24元</p>|210.52.240.1|2004-10-07 04:26:49.550|ellry|361
|又增长了知识。这些书的封面设计都不错，兄弟是否收集了这些杂志的大半？|221.226.99.206|2004-10-09 07:53:30.643|马天|364
|作者是如何买到这些书的？贵嘛？|202.105.34.9|2004-10-15 07:20:03.640|hjb|364
|我对四十六号密室的感觉非常之一般。。不知道魔镜会不会好看点儿。|61.149.118.188|2004-11-28 23:52:16.547|长河落日|401
|<p>我觉得魔镜还不错，大概和行人十角馆差不多</p> <p>46号密室确实很一般^^</p>|219.144.200.170|2004-12-02 04:01:57.600|小哈|401
|《脑髓地狱》台湾已经出版了。|61.145.238.134|2005-01-28 23:38:54.210|aza|420
|<table id="HB_Mail_Container" height="100%" cellspacing="0" cellpadding="0" width="100%" border="0" unselectable="on"> <tbody> <tr height="100%" unselectable="on" width="100%"> <td id="HB_Focus_Element" valign="top" width="100%" background="" height="250" unselectable="off"> <p>I love mystery bbs.</p> <p><a href="http://www.sherlockpeoria.net/Miscellaney/OddPrintThings/DancingMenCoded.html">http://www.sherlockpeoria.net/Miscellaney/OddPrintThings/DancingMenCoded.html</a></p> <p>乐阳，如果有兴趣可以去上面的网站看看，the dancing man in the dancing man code. you gonna love it.</p></td></tr> <tr unselectable="on" hb_tag="1"> <td style="FONT-SIZE: 1pt" height="1" unselectable="on"> <div id="hotbar_promo"></div></td></tr></tbody></table>|71.104.45.221|2005-04-04 02:23:30.287|Irregular|446
|<p><font style="BACKGROUND-COLOR: #c0c0c0">个人觉得wumi在推门发过的那套跳舞的小人也很棒,而且是具有中国特色的.</font></p> <p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;liuyuhen</p>|219.228.97.172|2005-04-04 09:24:21.497|Xeast|446
|Irregular, 这手册让我大开眼界，真希望我也有一份过过瘾。我企图在网上找找，但一直没找到，但居然找到一份日文版的跳舞小人，晕http://www.stutler.cc/other/misc/dancing_men.html<br /> <br /> 我觉得，如果福迷用小人来作信息交流，那定会是乐事。<br /> <br /> liuyuhen，五迷曾发过跳舞小人吗？记忆中好像只有金甲虫和文字诗？<br />|128.205.205.89|2005-04-04 12:27:49.167|乐阳|446
|<P>我记得高中看福尔摩斯时，特意把这十八个小人画下来，又补了八个进去，现在却找不到。</P><P>wumi那个跳舞的小人确实可爱，上次写小说时想借用他的图形，却怎么都找不到了。</P><P>\●/<BR>&nbsp;M</P>|61.177.14.4|2006-01-17 04:38:18.287|罗修|446
|还有一种现象也应该算可以被归纳在第三点中。我觉得边城不浪兄《为什么要读推理小说》一文给人很大的启发。而乐阳对此又加入了一些个人的看法。另外，我还觉得，即使是在喜欢推理小说的圈子中，也不乏有喜欢“一鸣惊人”的同志专门去寻找一些比较偏僻的，周围的人都不太可能看到的书籍（但这种书又未必是比读者能经常容易阅读到的作品好的），并以此来炫耀。首先，我们要把这样的人和与善意的“书籍推广行为”要区分开。善意的书籍推广行为是带有指导和引荐作用在推广评论中的。而“一鸣惊人”的炫耀式文章，既没有评论价值标准，对别人对自己也均没有促进意义。这样的人和这样的文还是比较常见的。 |218.80.217.163|2006-01-17 01:51:58.570|御手舷|537
|<p class="MsoNormal"><span style="font-family: &quot;Arial Unicode MS&quot;;">我倒非常鼓励别人推介比较偏僻的侦探小说，这是让我们进步的一种方法啊，一来可以让其他侦探迷有个参考，二来兴许能引起出版社的注意力。好处不少。<o:p></o:p></span></p>|128.205.205.125|2006-01-17 08:12:07.897|乐阳|537
|<P>你好,本人身處於澳門。</P><P>推理小說在澳門一點都不流行，基本沒有一個人會喜歡看推理小說。</P><P>就連澳門的書局亦將推理小說的書放在一個叫外國文學的櫃上，你要找一本</P><P>推理小說真是要多花一些時間，有的還放置在沒有標題的櫃上，完全不注重。</P><P>我由小就開看，並不是為了什麼酷或与众不同。</P><P><STRONG>只是如果你在澳門看推理小說一定會被人覺得特別!</STRONG></P><P>&nbsp;</P>|125.31.5.36|2006-01-18 08:03:36.757|夕|537
|推理小说纯粹爱好：）无需拘谨，沉浸其中。|218.19.151.242|2006-01-21 01:25:39.517|hjb|537
|<P>好文，我是從藍霄看過來的，很喜歡這裡的風格。</P><P>閲讀推理小説應該是個人嗜好，是否想標新立異？應該關係不大吧。</P>|220.163.14.142|2006-01-24 02:43:10.377|康康|537
|偏激了,论点有问题.|218.14.206.10|2006-01-28 11:42:24.937|雷阵雨|537
|<P>个人喜好吧，另外可能有些人就适合读这个。跟萝卜青菜一样。有些人的性格特点让他/她有某种欲望，而侦探小说能够让这种欲望发泄出来，爽一把。觉得快乐自然会接下去读。另外一些人开始不清楚自己有这个欲望，看侦探小说能发现它而接下去读。至于不喜欢的，那就说明这不合口味了，要么就是时机没到（进错了饭馆，要么就是擅长的厨师读侦探小说到深夜早上起不来没上班？）换菜就是。点菜基本不需要智商，能看懂文字就会好。点菜也没人说酷，太普通了，具体到去哪个餐馆吃饭花了多少钱才有可能被别人说酷。</P><P>&nbsp;</P>|221.218.1.219|2006-01-30 04:49:23.700|durango|537
|读奎因的书宜慢不宜快，每天读它几十页，--------同意!对我来说最大的享受就是在炎热的夏天午后抱一本奎因的小说，泡工茶差慢慢看了!那感觉就是爽!|219.135.240.140|2005-09-13 01:44:06.530|nys|81
|中国怎么没有呢~郁闷啊~~~~~~~~|61.173.249.32|2004-02-04 08:05:00.000|风尘|118
|请问，现在国内能购买到这部作品吗？|220.188.84.126|2004-10-12 00:25:45.600|藤井树|182
|对于我们喜欢EQ的人来说无疑是份最有价值的资料~|218.94.60.11|2003-12-05 03:02:00.000|无限天空|222
|哈哈哈……名侦探的夫妻生活问题。奎因夫人到底是谁？<BR>|61.177.12.240|2006-01-08 08:04:10.030|罗修|224
|ElleryQueen-In The Queens Parlour的50篇短文我也弄到了|218.25.35.199|2003-12-21 13:42:00.000|dsky|225
|这些文章主要是随感、杂记，当做餐后点心非常不错呢。|61.55.134.161|2003-12-22 02:29:00.000|ellry|225
|准备全部翻译吗？<br>要不要我分点？|218.25.35.199|2003-12-22 04:40:00.000|dsky|225
|我挑几篇翻译的。并不是所有都有翻译的价值。|211.100.124.212|2003-12-22 09:03:00.000|ellry|225
|<table id="HB_Mail_Container" height="100%" cellspacing="0" cellpadding="0" width="100%" border="0" unselectable="on"> <tbody> <tr height="100%" unselectable="on" width="100%"> <td id="HB_Focus_Element" valign="top" width="100%" background="" height="250" unselectable="off"> <p>我一直在考虑到底是Jeremy Brett的福尔摩斯比较好，还是Basil的比较好。Basil只是从某种角度上上去才会比较像Sidney Paget画上的福尔摩斯。他看上去似乎有点拉丁人种的感觉，从我搜集的剧照中，居然看上去会像意大利人。无论如何，他的电影实在是很棒！虽然是黑白的，质量也不怎么样，图书馆里那几卷录像带是80年代翻录的，但是声音也都听不太清楚了。</p> <p>至于Jeremy，我一直把他做为有史以来最棒的福尔摩斯。神经质，偏执，聪明，冷淡。。。这些都被表现得淋漓尽致。</p> <p>我上半年看过一个超级可笑的新版福尔摩斯The Case of Evil。里面的歇洛克不但漂亮的出奇，而且动不动就喜欢在报纸上出风头，更可怕的是，福尔摩斯被描写成上流社会沙龙里的风流公子。。。若不是因为电影里可爱的华生和超级酷的莫里亚蒂，我真是要砸电视了。</p></td></tr> <tr unselectable="on" hb_tag="1"> <td style="FONT-SIZE: 1pt" height="1" unselectable="on"> <div id="hotbar_promo"></div></td></tr></tbody></table>|4.60.10.189|2004-07-24 19:12:44.837|Irregular|247
|巧，我上周也从图书馆借到the case of evil，前十分钟已经差点让我吐血而亡。|128.205.248.193|2004-07-24 23:12:36.417|乐阳|247
|<table id="HB_Mail_Container" height="100%" cellspacing="0" cellpadding="0" width="100%" border="0" unselectable="on"> <tbody> <tr height="100%" unselectable="on" width="100%"> <td id="HB_Focus_Element" valign="top" width="100%" background="" height="250" unselectable="off"> <table id="HB_Mail_Container" height="100%" cellspacing="0" cellpadding="0" width="100%" border="0" unselectable="on"> <tbody> <tr height="100%" unselectable="on" width="100%"> <td id="HB_Focus_Element" valign="top" width="100%" background="" height="250" unselectable="off"> <p>乐阳也看了The case of evil? 很暴笑吧？我是从头笑到尾（很奇怪我居然还看完了）。</p> <p>那个演福尔莫斯的演员后来在master and Commander里面出现过，看上去似乎也没什么抢眼的地方。倒是扮演莫利亚蒂的Vincent D'Onofrio 是我一直很喜欢的演员。你看过他在Law and Order: Criminal Intence 里面的表演吗？在很多时候让我想起福尔莫斯。他在里面扮演的探长和福尔莫斯的性格在很多方面都很相似。某种神经质的突然爆发，心思缜密，几乎无事不通无事不晓。。。</p> <p>我很期待Law and Order:CI在下一季的表现。</p></td></tr> <tr unselectable="on" hb_tag="1"> <td style="FONT-SIZE: 1pt" height="1" unselectable="on"> <div id="hotbar_promo"></div></td></tr></tbody></table></td></tr> <tr unselectable="on" hb_tag="1"> <td style="FONT-SIZE: 1pt" height="1" unselectable="on"> <div id="hotbar_promo"></div></td></tr></tbody></table>|4.60.4.190|2004-07-27 23:30:31.973|Irregular|247
|<p>看了，只不过没看完，实在不忍心看下去...</p> <p>law and order没看过，事实上不怎么有耐性看电视，除了偶而看看csi....</p>|141.149.249.13|2004-08-01 14:24:30.640|乐阳|247
|唉，买不到啊，我好想看|218.104.83.171|2004-05-28 02:29:00.000|autumn|249
|觉得他写得有点古文的味道。|219.136.101.148|2004-05-08 12:34:00.000|hjb|305
|黄钧浩先生翻译的<推理大师的恶梦>有这样的味道,不过馆系列没有,也许是翻译风格的差别|202.102.112.25|2004-05-08 13:54:00.000|ellry|305
|<P>我看推理小说往往只能有些感想，无法条条是道的去分析作品。ellry恰恰是能做到理性分析，这点我很感佩服。</P><P>只是对最后一段稍稍有点迷惑：本来是标题是馆系列VS传统本格，正文却成了新本格vs传统本格的感觉，所谓新本格大部分作品人物刻画都很薄弱的说法是否有点偏颇？另外将馆系列（甚至新本格）与欧美古典本格比读者多寡当然是没法比了，毕竟英语文化是强势文化，而且欧美并没有新本格这种风格类型（姑且不论这一概念定义上的不明）可供参照。</P><P>  ps:我觉得黄钧浩先生翻译的并不好，行文语气不知怎的竟感觉像武侠小说？古文的味道嘛，建议黄先生去翻译京极夏彦的小说，呵呵</P><P> 写的过长了，抱歉</P>|210.77.191.205|2004-05-10 20:23:00.000|yuka|305
|<P>多谢批评，主要我看的新本格作品不过，也就局限在一些有中译本的作品（包括一些台湾译本），所提建议我会修正的。</P><P>黄先生的翻译可能个人风格很重，稍微古文化了些，不过也谈不上不好。</P>|219.146.76.209|2004-05-11 02:41:00.000|ellry|305
|就馆系列的印象而言,人物的刻画确实比较薄弱,比如岛田洁,大概是他侃侃而谈的时候比较少,不过作为侦探确实很难给人留下深刻的印象.绫辻的文笔太诡异了，尤其是迷宫那段被漏掉的，和尚的老大真的很出彩|218.22.174.226|2004-05-15 04:54:00.000|ezoze|305
|行人的馆系列目前出了六本，我都看过，总的；来说还不错，但有一个共同的缺点，就是故事开始后要很长的篇幅后才切入案件。|219.146.143.214|2004-10-23 21:27:04.960|王昊阳|305
|<p>看过《杀人时计馆》、《杀人十角馆》后，感觉很神秘，很压抑，透不过气来。风格有点像荷兰作家高佩罗写的《狄公探案集》。</p>|219.130.91.40|2004-12-21 09:14:22.773|silly|305
|請問那裹可買到 CARR的 " 三口棺材", 我這天尋遍深圳書城不獲|203.218.142.86|2004-05-13 17:45:00.000|thomas|309
|据我所知，除南京本地（译林出版社在南京）以外其他地方暂时无法买到《三口棺材》，恐怕需要等到5月下旬才有可能出现在网络书店。|219.144.194.18|2004-05-14 03:23:00.000|ellry|309
